task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
61	c4/168bbf	1634813	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (4581_P0)	COMPLETED	0	2022-03-02 23:11:37.006	778ms	0ms	61.5%	3 MB	5.4 MB	83.4 KB	5 KB
62	db/22daa8	1635040	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (4649_P0)	COMPLETED	0	2022-03-02 23:11:37.788	693ms	0ms	80.0%	2.9 MB	5.4 MB	83.5 KB	5.1 KB
63	93/117298	1635256	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (4658_P0)	COMPLETED	0	2022-03-02 23:11:38.486	699ms	0ms	61.5%	3 MB	5.4 MB	85 KB	5.2 KB
64	85/e97a22	1635472	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (4645_P0)	COMPLETED	0	2022-03-02 23:11:39.195	967ms	0ms	120.0%	2.9 MB	5.4 MB	83.1 KB	5 KB
68	45/317f16	1635688	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4581_P0)	COMPLETED	0	2022-03-02 23:11:40.168	828ms	0ms	109.1%	3 MB	5.4 MB	74.3 KB	3.1 KB
65	34/1be26a	1635907	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (4581_P0)	COMPLETED	0	2022-03-02 23:11:41.003	896ms	0ms	58.3%	9.4 MB	459.4 MB	87.8 KB	2.7 KB
67	2b/d7899c	1636130	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4581_P0)	COMPLETED	0	2022-03-02 23:11:41.912	898ms	0ms	106.7%	3 MB	5.4 MB	87.6 KB	3.5 KB
70	52/7dca27	1636347	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4649_P0)	COMPLETED	0	2022-03-02 23:11:42.814	928ms	0ms	63.2%	2.9 MB	5.4 MB	74.4 KB	3.1 KB
69	2a/7ce48b	1636563	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4649_P0)	COMPLETED	0	2022-03-02 23:11:43.746	839ms	0ms	92.3%	2.9 MB	5.4 MB	87.8 KB	3.5 KB
71	25/75c66b	1636781	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (4649_P0)	COMPLETED	0	2022-03-02 23:11:44.590	984ms	0ms	69.0%	3 MB	5.4 MB	87.9 KB	2.8 KB
66	88/8bdaab	1637013	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (4581_P0)	COMPLETED	0	2022-03-02 23:11:45.579	5s	4s	121.1%	129 MB	15.4 GB	19.4 MB	251.4 KB
72	b8/234d34	1637539	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (4649_P0)	COMPLETED	0	2022-03-02 23:11:50.607	4.7s	3s	120.2%	133.4 MB	15.4 GB	19.4 MB	250.9 KB
74	9b/80527f	1638062	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4658_P0)	COMPLETED	0	2022-03-02 23:11:55.266	884ms	0ms	117.6%	3 MB	5.4 MB	88 KB	3.6 KB
75	1a/5b6479	1638298	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (4658_P0)	COMPLETED	0	2022-03-02 23:11:56.154	832ms	0ms	120.0%	2.9 MB	5.4 MB	88.2 KB	3 KB
